country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
Mexico,Additives and Oxygenates - Total energy supply,2007,"Metric tons,  thousand",950,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Total energy supply,2006,"Metric tons,  thousand",829,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Total energy supply,2005,"Metric tons,  thousand",775,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Total energy supply,2004,"Metric tons,  thousand",745,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Total energy supply,2003,"Metric tons,  thousand",767,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Total energy supply,2002,"Metric tons,  thousand",770,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Total energy supply,2001,"Metric tons,  thousand",670,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Total energy supply,2000,"Metric tons,  thousand",547,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Total energy supply,1999,"Metric tons,  thousand",751,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Total energy supply,1998,"Metric tons,  thousand",859,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Total energy supply,1997,"Metric tons,  thousand",676,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Total energy supply,1996,"Metric tons,  thousand",457,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Total energy supply,1995,"Metric tons,  thousand",438,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Total energy supply,1994,"Metric tons,  thousand",437,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Total energy supply,1993,"Metric tons,  thousand",328,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Total energy supply,1992,"Metric tons,  thousand",214,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Total energy supply,1991,"Metric tons,  thousand",267,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Total energy supply,1990,"Metric tons,  thousand",227,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,2014,"Metric tons,  thousand",850,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,2013,"Metric tons,  thousand",827,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,2012,"Metric tons,  thousand",848,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,2011,"Metric tons,  thousand",704,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,2010,"Metric tons,  thousand",720,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,2009,"Metric tons,  thousand",848,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,2008,"Metric tons,  thousand",879,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,2007,"Metric tons,  thousand",950,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,2006,"Metric tons,  thousand",830,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,2005,"Metric tons,  thousand",775,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,2004,"Metric tons,  thousand",745,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,2003,"Metric tons,  thousand",766,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,2002,"Metric tons,  thousand",771,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,2001,"Metric tons,  thousand",670,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,2000,"Metric tons,  thousand",547,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,1999,"Metric tons,  thousand",751,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,1998,"Metric tons,  thousand",859,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,1997,"Metric tons,  thousand",677,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,1996,"Metric tons,  thousand",457,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,1995,"Metric tons,  thousand",438,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,1994,"Metric tons,  thousand",438,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,1993,"Metric tons,  thousand",328,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,1992,"Metric tons,  thousand",214,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,1991,"Metric tons,  thousand",267,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation,1990,"Metric tons,  thousand",228,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,2014,"Metric tons,  thousand",850,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,2013,"Metric tons,  thousand",827,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,2012,"Metric tons,  thousand",848,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,2011,"Metric tons,  thousand",704,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,2010,"Metric tons,  thousand",720,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Transformation in oil refineries,2009,"Metric tons,  thousand",848,,additives_and_oxygenates
